name,latitude,longitude
Hôtel des Vosges,48.6858607,6.1848067
Sun Box,48.6882605,6.1828056
Brasserie d'Haussonville,48.6706298,6.1673319
Accueil,48.687814,6.1914805
Kim Seng,48.6855276,6.1944329
Parking Saint-Nicolas,48.6873502,6.1896144
Le Chat Noir,48.6861775,6.1716936
École internationale Tunon,48.6972985,6.1736189
Brasserie Saint-Epvre,48.6960482,6.1790474
Couscousserie des Petites Familles,48.6957428,6.1794
Pinocchio,48.6963929,6.1790042
Le Vestiaire,48.6985983,6.1779271
Boteco do Brasil,48.698674,6.178448
Le Palais Gourmand,48.6986697,6.1789986
Brasserie Stanislas,48.6929777,6.1811527
Épicéa,48.6861978,6.1917071
Le Bouillon Rousselet,48.6917864,6.1842948
Hana Sushi & Wok,48.6863218,6.1918582
"La Tour de Pizz""",48.6863484,6.1916537
Yummy Sushi,48.6863998,6.1914409
Établissement Petite Enfance Jeanne Wunschendorff,48.6965539,6.1736599
Restaurant Bastion,48.6989159,6.1878591
Bibliothèque pour Tous,48.6958174,6.1899704
Le Placieux,48.6776627,6.168565
Pharmacie de la Commanderie,48.6860345,6.1676595
Crèche Louise Delsart,48.6715941,6.1672306
La Petite Cuillère,48.6980046,6.1784922
Milano Pizza,48.676218,6.1772994
GL Permis,48.6790414,6.1801633
Le Médiéval,48.6960284,6.177693
Vindiou,48.6968436,6.1792032
L'École de Conduite Française,48.6856222,6.1608188
Les Fourmis Rouges,48.6930985,6.1989108
Elite Kebab,48.6768216,6.17769
Commanderie,48.6856999,6.1673208
École élémentaire Alfred Mézières,48.7011448,6.170471
Pizza L'Ostorea,48.6694061,6.1694551
À La Bonne Gammelle,48.6892201,6.1980181
Le BoucL'Art,48.6963864,6.1923419
Parking Verlaine,48.6884877,6.1639122
CIC,48.6895795,6.1723785
Collège Saint-Léon IX,48.6884109,6.1719672
Les 3 marches,48.6898242,6.1718907
Lycée Saint-Léon IX,48.6887446,6.1718376
CIC,48.6895489,6.1725608
École Saint-Léon IX,48.6889092,6.1725574
Bibliothèque universitaire Ingénieurs ENSIC,48.6997601,6.1783995
Shawarmahut,48.6906021,6.1827307
Côté Sushi,48.6895922,6.1821433
Le V'Four,48.6967826,6.1789188
Le Petit Gavroche,48.6838932,6.1710625
Pharmacie Saint-Fiacre,48.7013858,6.1716146
Pharmacie de Bonsecours,48.6817234,6.1983078
École maternelle Alfred Mézières,48.7005331,6.1712073
Bibliothèque Haussonville,48.6708723,6.1616385
Bibliothèque République,48.6825037,6.1788965
Bibliothèque Trois-Maisons,48.7029815,6.1769024
Médiathèque Haut-du-Lièvre,48.7028782,6.1560216
Parking République,48.6873001,6.1773303
Asia Food,48.6993293,6.1900065
Piopa,48.6893137,6.1781722
CIC,48.6855453,6.1606359
Energymax,48.6863372,6.1635386
26 Corner,48.681036,6.1636653
White Dream,48.685557,6.1666699
La Fournaise,48.6857385,6.1941726
L'Assiette Sympa,48.6859684,6.1932778
Arzum Kebab,48.6835138,6.1771804
Le Bazar à Pierrot,48.6917082,6.1925664
Full house,48.6847494,6.1703788
Mauricette,48.6913335,6.1754303
Campus Food,48.6968552,6.1693988
Bibliothèque universitaire de l'IUT Nancy-Charlemagne,48.6828014,6.1609874
Institut National Spécialisé d’Études Territoriales,48.6957866,6.1960455
Chapelle Sainte-Marie-Madeleine,48.6860879,6.1843317
Vape Thé Café,48.6923402,6.1806566
Durex,48.6835518,6.1743845
Service d'Orientation et d'Insertion Professionnelle,48.6936623,6.1663444
Police Municipale,48.6981136,6.1806598
Buste d'Israël Silvestre,48.6942806,6.1823157
Buste de Ferdinand de Saint-Urbain,48.6943726,6.1822546
Auto-École Jean,48.6936956,6.1806354
La Poste Nancy Stanislas,48.6920246,6.1814257
Les Planches,48.6942385,6.1810092
La Gentilhommière,48.6940841,6.1809698
Thaï Hey,48.6941571,6.1812366
La Piazzetta,48.6941812,6.1807711
Le Bistrot de Gilles,48.694056,6.1808571
Les Fils à Maman,48.6939635,6.1805035
Sushi Kōbe,48.6803891,6.1752215
Hertz,48.6906941,6.1750143
Pharmacie de Scarpone,48.7032041,6.1631462
LCD Laboratoire Dentaire,48.6909931,6.1869744
Gare Thiers,48.6903216,6.1749702
Thiers,48.6898571,6.175055
Banque Populaire,48.6745955,6.1636248
Butter Station,48.6897495,6.1759249
Le Mortissia,48.6878267,6.1823755
Équinoxe,48.6874622,6.1826424
La Bolée,48.6877107,6.1824604
Le Bengale,48.6879449,6.1826869
Karma,48.6879143,6.1825917
Le Gibraltar,48.6879667,6.182755
